   0.00000,  -0.28543,   0.51210,  -0.53254,   0.26499
   0.01667,  -0.38371,   0.12257,  -0.52353,  -0.01726
   0.03333,  -0.17006,  -0.20670,  -0.36098,  -0.39762
   0.05000,   0.25788,  -0.12884,  -0.12327,  -0.50999
   0.06667,   0.15791,   0.03442,  -0.11508,  -0.23857
   0.08333,  -0.00771,   0.06202,  -0.10634,  -0.03661
   0.10000,  -0.03006,   0.03956,  -0.24430,  -0.17467
   0.11667,   0.06077,  -0.03720,  -0.26148,  -0.35946
   0.13333,   0.33172,  -0.09468,   0.11225,  -0.31415
   0.15000,   0.42752,  -0.18517,   0.37709,  -0.23560
   0.16667,   0.27124,  -0.35349,   0.37977,  -0.24496
   0.18333,   0.10749,  -0.31297,   0.27428,  -0.14617
   0.20000,   0.25860,  -0.19862,   0.44385,  -0.01336
   0.21667,   0.38812,  -0.25927,   0.54590,  -0.10148
   0.23333,   0.22342,  -0.30241,   0.29135,  -0.23447
   0.25000,   0.02285,  -0.22934,   0.05179,  -0.20041
   0.26667,   0.14932,  -0.16004,   0.31101,   0.00166
   0.28333,   0.18243,  -0.18878,   0.47947,   0.10827
   0.30000,  -0.21484,  -0.18344,   0.11449,   0.14590
   0.31667,  -0.58764,   0.11651,  -0.29282,   0.41133
   0.33333,  -0.56755,   0.30057,  -0.25027,   0.61786
   0.35000,  -0.26420,   0.06853,   0.05131,   0.38404
   0.36667,  -0.21904,  -0.09195,  -0.06323,   0.06386
   0.38333,  -0.55216,  -0.04974,  -0.44392,   0.05850
   0.40000,  -0.67005,   0.03090,  -0.48500,   0.21595
   0.41667,  -0.27230,  -0.08350,  -0.03162,   0.15718
   0.43333,   0.03687,  -0.07496,   0.34600,   0.23417
   0.45000,  -0.06512,  -0.01982,   0.26986,   0.31516
   0.46667,  -0.19200,   0.01520,  -0.00757,   0.19963
   0.48333,   0.03353,   0.17463,  -0.04231,   0.09878
   0.50000,   0.35486,   0.21921,   0.09716,  -0.03848
   0.51667,   0.33508,   0.16930,   0.08927,  -0.07651
   0.53333,   0.17607,   0.13733,  -0.00298,  -0.04172
   0.55000,   0.16771,   0.33634,  -0.08794,   0.08070
   0.56667,   0.21631,   0.36599,  -0.03273,   0.11695
   0.58333,   0.07207,   0.15094,   0.02363,   0.10250
   0.60000,  -0.19573,  -0.09828,  -0.16192,  -0.06447
   0.61667,  -0.31082,  -0.12771,  -0.35937,  -0.17627
   0.63333,  -0.04774,   0.00452,  -0.29457,  -0.24232
   0.65000,   0.39144,   0.01966,  -0.05184,  -0.42361
   0.66667,   0.54920,  -0.05478,   0.09379,  -0.51019
   0.68333,   0.29746,  -0.18014,  -0.07453,  -0.55213
   0.70000,   0.08023,  -0.30227,  -0.22245,  -0.60495
   0.71667,   0.21382,  -0.22169,  -0.08103,  -0.51653
   0.73333,   0.26351,   0.12569,  -0.07519,  -0.21300
